name,type,address,region,sido,sigungu,lat,lng,precision,opened,note,source_url,matched
경기광주1센터,풀필먼트센터,경기도 광주시 도척면 진우리 1006번지,경기남부,경기도,광주시,37.313683,127.343213,,,"경량물, 상온 센터",,경기 광주시 도척면 진우리 1006
경기광주3센터,풀필먼트센터,"경기 광주시 문형동 902, B동",경기남부,경기도,광주시,37.348031,127.196491,,,5Kg 이하의 소형 화물 전용,,경기 광주시 문형동 902
경기광주5센터,풀필먼트센터,경기 광주시 문형동 900,경기남부,경기도,광주시,37.348860,127.198020,,,Dry / Grande Center,,경기 광주시 문형동 900
곤지암1센터,풀필먼트센터,경기 광주시 곤지암읍 열미리 416-3,경기남부,경기도,광주시,37.351884,127.361680,,,신선 센터,,경기 광주시 곤지암읍 열미리 416-3
곤지암2센터,풀필먼트센터,경기 광주시 곤지암읍 신대리 281,경기남부,경기도,광주시,37.364657,127.336298,,,,,경기 광주시 곤지암읍 신대리 281
동탄1센터,풀필먼트센터,경기도 화성시 동탄물류1로 13(신동),경기남부,경기도,화성시,37.172233,127.126258,,,,,경기 화성시 동탄구 동탄물류1로 13
마장1센터,풀필먼트센터,"경기도 이천시 마장면 해월리 산64, 3층",경기남부,경기도,이천시,37.201649,127.359049,,,,,
서울1센터,풀필먼트센터,서울 송파구 장지동 674번지 E동,경기남부,서울특별시,송파구,37.474126,127.122988,,,"경량물, 상온 센터",,서울 송파구 장지동 674
안성4센터,풀필먼트센터,경기 안성시 죽산면 장능리 35-4,경기남부,경기도,안성시,37.067421,127.400118,,,"중량물, 상온",,경기 안성시 죽산면 장능리 35-4
안성5센터,풀필먼트센터,경기도 안성시 원곡면 원곡물류단지 1로61,경기남부,경기도,안성시,37.048025,127.164124,,,,,경기 안성시 원곡면 원곡물류단지1로 61
안성8센터,풀필먼트센터,경기도 안성시 일죽면 능국리 23-10,경기남부,경기도,안성시,37.118489,127.497934,,,,,
